((15.04 #$S6803.sll0005 "S6803.sll0005")
 (12.95 #$S6803.sll0528 "S6803.sll0528")
 (12.63 #$S6803.sll0218 "S6803.sll0218")
 (12.26 #$S6803.sll1514 "S6803.sll1514")
 (11.12 #$S6803.slr1512 "S6803.slr1512")
 (10.89 #$S6803.sll1733 "S6803.sll1733")
 (9.74 #$S6803.slr1544 "S6803.slr1544")
 (9.12 #$S6803.sll0219 "S6803.sll0219")
 (8.09 #$S6803.slr1641 "S6803.slr1641")
 (7.72 #$S6803.sll1732 "S6803.sll1732")
 (7.66 #$S6803.slr1291 "S6803.slr1291")
 (7.65 #$S6803.sll1483 "S6803.sll1483")
 (7.07 #$S6803.sll1884 "S6803.sll1884")
 (6.83 #$S6803.slr1963 "S6803.slr1963")
 (6.4 #$S6803.sll1028 "S6803.sll1028")
 (6.35 #$S6803.sll0170 "S6803.sll0170")
 (6.25 #$S6803.sll0430 "S6803.sll0430")
 (6.06 #$S6803.sll0217 "S6803.sll0217")
 (5.93 #$S6803.sll1032 "S6803.sll1032")
 (5.64 #$S6803.ssl3044 "S6803.ssl3044")
 (5.59 #$S6803.sll0846 "S6803.sll0846")
 (5.4 #$S6803.slr1675 "S6803.slr1675")
 (5.36 #$S6803.slr2075 "S6803.slr2075")
 (5.19 #$S6803.sll1029 "S6803.sll1029")
 (5.07 #$S6803.slr0959 "S6803.slr0959")
 (4.85 #$S6803.slr1674 "S6803.slr1674")
 (4.76 #$S6803.sll1031 "S6803.sll1031")
 (4.67 #$S6803.sll0416 "S6803.sll0416")
 (4.63 #$S6803.slr1604 "S6803.slr1604")
 (4.62 #$S6803.slr0006 "S6803.slr0006")
 (4.45 #$S6803.sll1734 "S6803.sll1734")
 (4.3 #$S6803.ssr2595 "S6803.ssr2595")
 (4.27 #$S6803.sll1541 "S6803.sll1541")
 (4.26 #$S6803.slr1516 "S6803.slr1516")
 (4.01 #$S6803.slr1686 "S6803.slr1686")
 (3.99 #$S6803.slr1594 "S6803.slr1594")
 (3.96 #$S6803.slr0007 "S6803.slr0007")
 (3.92 #$S6803.slr2076 "S6803.slr2076")
 (3.88 #$S6803.sll2012 "S6803.sll2012")
 (3.87 #$S6803.slr0228 "S6803.slr0228")
 (3.84 #$S6803.ssr2016 "S6803.ssr2016")
 (3.83 #$S6803.sll0814 "S6803.sll0814")
 (3.7 #$S6803.ssl0452 "S6803.ssl0452")
 (3.6 #$S6803.slr1820 "S6803.slr1820")
 (3.45 #$S6803.slr0011 "S6803.slr0011")
 (3.41 #$S6803.sll1911 "S6803.sll1911")
 (3.31 #$S6803.slr1280 "S6803.slr1280")
 (3.29 #$S6803.slr1281 "S6803.slr1281")
 (3.29 #$S6803.slr1351 "S6803.slr1351")
 (3.27 #$S6803.slr1279 "S6803.slr1279")
 (3.24 #$S6803.slr1105 "S6803.slr1105")
 (3.22 #$S6803.sll0322 "S6803.sll0322")
 (3.17 #$S6803.slr0740 "S6803.slr0740")
 (3.03 #$S6803.slr0012 "S6803.slr0012")
 (3.02 #$S6803.sll0194 "S6803.sll0194")
 (3.02 #$S6803.slr1687 "S6803.slr1687")
 (2.98 #$S6803.sll0927 "S6803.sll0927")
 (2.96 #$S6803.slr0009 "S6803.slr0009")
 (2.94 #$S6803.slr0023 "S6803.slr0023")
 (2.9 #$S6803.slr0476 "S6803.slr0476")
 (2.87 #$S6803.sll1642 "S6803.sll1642")
 (2.87 #$S6803.slr1992 "S6803.slr1992")
 (2.84 #$S6803.slr0207 "S6803.slr0207")
 (2.81 #$S6803.slr0394 "S6803.slr0394")
 (2.81 #$S6803.slr0611 "S6803.slr0611")
 (2.8 #$S6803.slr0320 "S6803.slr0320")
 (2.79 #$S6803.slr1019 "S6803.slr1019")
 (2.72 #$S6803.sll1735 "S6803.sll1735")
 (2.7 #$S6803.sll1929 "S6803.sll1929")
 (2.69 #$S6803.slr0426 "S6803.slr0426")
 (2.69 #$S6803.slr1350 "S6803.slr1350")
 (2.68 #$S6803.slr0083 "S6803.slr0083")
 (2.67 #$S6803.sll1441 "S6803.sll1441")
 (2.67 #$S6803.sll1867 "S6803.sll1867")
 (2.66 #$S6803.sll1688 "S6803.sll1688")
 (2.66 #$S6803.slr0008 "S6803.slr0008")
 (2.64 #$S6803.slr0076 "S6803.slr0076")
 (2.61 #$S6803.sll0191 "S6803.sll0191")
 (2.57 #$S6803.slr1747 "S6803.slr1747")
 (2.55 #$S6803.sll1726 "S6803.sll1726")
 (2.54 #$S6803.slr1603 "S6803.slr1603")
 (2.49 #$S6803.slr1676 "S6803.slr1676")
 (2.49 #$S6803.slr1966 "S6803.slr1966")
 (2.49 #$S6803.ssl2542 "S6803.ssl2542")
 (2.44 #$S6803.sll0759 "S6803.sll0759")
 (2.43 #$S6803.slr1119 "S6803.slr1119")
 (2.42 #$S6803.sll0521 "S6803.sll0521")
 (2.42 #$S6803.ssr1256 "S6803.ssr1256")
 (2.41 #$S6803.sll1030 "S6803.sll1030")
 (2.41 #$S6803.slr1247 "S6803.slr1247")
 (2.38 #$S6803.slr1218 "S6803.slr1218")
 (2.38 #$S6803.slr2089 "S6803.slr2089")
 (2.37 #$S6803.sll0897 "S6803.sll0897")
 (2.34 #$S6803.ssl0453 "S6803.ssl0453")
 (2.29 #$S6803.sll1681 "S6803.sll1681")
 (2.29 #$S6803.slr0427 "S6803.slr0427")
 (2.28 #$S6803.sll0668 "S6803.sll0668")
 (2.27 #$S6803.slr0082 "S6803.slr0082")
 (2.24 #$S6803.slr0676 "S6803.slr0676")
 (2.23 #$S6803.slr0116 "S6803.slr0116")
 (2.23 #$S6803.slr0852 "S6803.slr0852")
 (2.22 #$S6803.sml0002 "S6803.sml0002")
 (2.21 #$S6803.sll1096 "S6803.sll1096")
 (2.21 #$S6803.sll1319 "S6803.sll1319")
 (2.18 #$S6803.slr0208 "S6803.slr0208")
 (2.17 #$S6803.slr0384 "S6803.slr0384")
 (2.17 #$S6803.ssl2971 "S6803.ssl2971")
 (2.16 #$S6803.slr0616 "S6803.slr0616")
 (2.16 #$S6803.slr0940 "S6803.slr0940")
 (2.13 #$S6803.sll0223 "S6803.sll0223")
 (2.12 #$S6803.ssl0410 "S6803.ssl0410")
 (2.11 #$S6803.slr0095 "S6803.slr0095")
 (2.11 #$S6803.slr1423 "S6803.slr1423")
 (2.11 #$S6803.slr2131 "S6803.slr2131")
 (2.1 #$S6803.sll1770 "S6803.sll1770")
 (2.08 #$S6803.sll0815 "S6803.sll0815")
 (2.08 #$S6803.sll1621 "S6803.sll1621")
 (2.08 #$S6803.slr0364 "S6803.slr0364")
 (2.08 #$S6803.slr0960 "S6803.slr0960")
 (2.07 #$S6803.sll1071 "S6803.sll1071")
 (2.07 #$S6803.slr1413 "S6803.slr1413")
 (2.06 #$S6803.slr1192 "S6803.slr1192")
 (2.05 #$S6803.sll0522 "S6803.sll0522")
 (2.04 #$S6803.slr2031 "S6803.slr2031")
 (2.03 #$S6803.sll0086 "S6803.sll0086")
 (2.03 #$S6803.sll0520 "S6803.sll0520")
 (2.03 #$S6803.sll1680 "S6803.sll1680")
 (2.0 #$S6803.slr0399 "S6803.slr0399")
 (1.99 #$S6803.slr0075 "S6803.slr0075")
 (1.99 #$S6803.slr1311 "S6803.slr1311")
 (1.98 #$S6803.sll0312 "S6803.sll0312")
 (1.98 #$S6803.slr0286 "S6803.slr0286")
 (1.98 #$S6803.slr1903 "S6803.slr1903")
 (1.97 #$S6803.sll1101 "S6803.sll1101")
 (1.95 #$S6803.sll1001 "S6803.sll1001")
