geneID 	15	 60 	360 	900
ssr3571	0.97	1.05	0.96	0.92
ssr3570	0.99	1.11	0.91	0.96
ssr3532	1.46	1.15	1.21	0.88
ssr3467	1.08	1.51	0.98	0.84
ssr3465	0.51	0.76	1.16	0.70
ssr3451	0.80	1.01	1.12	0.94
ssr3410	1.78	1.80	1.52	1.62
ssr3409	0.92	1.01	0.89	0.77
ssr3402	1.23	0.89	0.96	0.94
ssr3383	0.15	0.15	0.38	0.87
ssr3341	0.91	1.12	1.09	1.06
ssr3307	0.52	0.50	0.48	0.67
ssr3304	0.82	0.93	0.91	0.75
ssr3300	0.76	0.78	0.75	0.87
ssr3189	0.72	0.87	0.88	0.86
ssr3188	1.49	1.31	1.30	1.15
ssr3184	1.20	1.74	1.08	1.06
ssr3129	0.87	0.98	0.85	0.67
ssr3122	0.96	1.11	1.06	1.09
ssr3000	1.42	1.36	1.34	0.77
ssr2998	0.77	0.96	1.00	0.95
ssr2972	0.96	1.01	0.64	0.59
ssr2962	0.94	1.13	0.81	0.73
ssr2912	0.97	0.82	0.94	0.84
ssr2857	0.83	1.63	1.38	1.55
ssr2848	0.88	1.02	0.65	0.64
ssr2843	0.91	0.92	0.77	0.59
ssr2831	0.46	0.68	0.58	0.79
ssr2806	0.86	0.95	0.80	1.09
ssr2803	0.70	0.87	0.82	0.91
ssr2802	1.12	1.02	0.85	1.02
ssr2799	0.92	1.17	1.18	1.04
ssr2786	1.42	1.30	1.01	1.08
ssr2781	1.08	1.28	1.34	1.19
ssr2754	1.27	1.12	0.87	0.99
ssr2723	1.42	1.52	1.20	0.90
ssr2711	0.80	1.12	0.80	0.62
ssr2708	0.83	0.93	0.78	0.64
ssr2611	0.83	1.28	0.93	0.93
ssr2595	4.30	2.22	1.37	0.92
ssr2554	1.04	1.56	1.35	1.50
ssr2551	1.07	1.11	0.93	1.03
ssr2549	1.03	1.22	1.20	1.15
ssr2439	1.00	1.16	0.84	0.85
ssr2422	1.41	1.13	1.03	1.03
ssr2406	0.87	0.89	0.66	0.78
ssr2333	1.16	1.07	0.54	0.53
ssr2318	0.81	1.21	0.95	0.86
ssr2317	1.00	1.02	0.90	0.65
ssr2315	1.16	1.21	1.09	0.83
ssr2201	1.06	1.05	1.00	0.83
ssr2194	1.07	0.82	0.74	0.72
ssr2153	0.78	1.11	0.71	0.80
ssr2142	0.95	0.92	0.57	0.64
ssr2130	1.07	1.66	2.03	1.01
ssr2087	1.11	1.00	1.03	0.96
ssr2067	1.20	1.02	0.85	0.64
ssr2062	0.81	1.12	0.85	0.60
ssr2061	1.27	1.07	1.21	1.24
ssr2060	0.99	1.13	1.10	0.86
ssr2049	1.18	1.03	0.93	0.83
ssr2047	1.38	1.09	1.31	1.07
ssr2016	3.84	1.82	1.19	0.67
ssr2009	0.92	1.09	1.10	1.01
ssr1951	0.92	1.28	1.06	0.94
ssr1853	0.77	1.06	0.91	0.84
ssr1789	1.18	1.80	1.48	1.58
ssr1768	0.95	0.90	0.68	0.60
ssr1766	0.83	1.00	1.00	1.02
ssr1765	0.90	0.99	0.78	0.59
ssr1736	0.86	1.42	0.85	0.83
ssr1720	0.96	1.45	1.23	1.21
ssr1698	1.05	0.90	0.74	0.60
ssr1604	1.09	1.30	1.13	1.15
ssr1600	0.92	1.26	0.91	1.17
ssr1562	1.30	0.94	1.09	0.92
ssr1558	0.94	0.99	1.23	1.05
ssr1528	1.25	1.13	1.38	0.98
ssr1527	0.92	1.26	0.89	0.94
ssr1513	1.20	1.02	0.84	0.84
ssr1499	1.07	1.11	1.00	1.05
ssr1480	1.09	1.66	1.51	1.06
ssr1425	0.89	0.83	0.61	0.67
ssr1407	1.02	1.14	0.88	0.90
ssr1399	0.84	1.12	1.02	1.02
ssr1398	0.95	1.26	1.06	1.25
ssr1391	1.00	0.97	0.84	0.99
ssr1386	0.95	1.30	1.04	1.15
ssr1375	0.54	0.75	1.05	0.97
ssr1258	1.26	1.24	0.98	0.92
ssr1256	2.42	1.28	1.42	0.85
ssr1169	0.83	0.69	0.64	0.64
ssr1155	1.13	1.12	0.75	0.73
ssr1114	1.04	0.61	0.66	0.66
ssr1041	0.82	0.92	0.72	0.56
ssr1038	0.94	1.20	0.76	0.78
ssr0761	0.84	0.93	0.77	0.78
ssr0759	0.76	0.73	0.52	0.76
ssr0756	0.80	1.00	0.86	0.68
ssr0693	0.91	1.09	0.71	0.64
ssr0692	1.03	0.92	1.07	0.75
ssr0657	1.05	1.09	0.98	0.75
ssr0536	0.87	0.79	1.27	0.87
ssr0482	1.17	1.40	1.13	1.38
ssr0390	0.73	0.78	0.64	0.75
ssr0349	0.82	1.18	0.90	0.77
ssr0336	0.98	0.85	0.85	0.83
ssr0332	0.94	1.19	1.14	1.05
ssr0330	1.04	1.02	1.09	0.95
ssr0109	0.91	1.11	1.19	1.06
ssr0102	1.04	1.18	1.06	1.06
ssl3829	0.72	0.82	0.91	1.27
ssl3769	1.64	1.42	1.20	0.92
ssl3712	1.15	1.11	1.14	0.92
ssl3692	0.37	0.30	0.44	0.84
ssl3615	1.38	1.34	0.88	0.69
ssl3580	1.07	1.40	1.45	1.40
ssl3573	1.09	0.92	0.86	0.80
ssl3549	0.91	1.04	0.73	0.77
ssl3451	0.95	1.10	0.97	0.89
ssl3446	1.40	1.15	0.71	0.60
ssl3445	0.77	1.63	1.55	1.47
ssl3441	0.89	1.46	1.16	1.42
ssl3437	1.04	3.16	2.27	2.83
ssl3436	0.79	2.31	1.80	1.96
ssl3432	1.01	2.25	1.66	2.12
ssl3383	1.03	1.32	0.99	1.05
ssl3382	1.60	1.20	1.03	0.95
ssl3379	1.03	0.99	0.86	0.97
ssl3364	1.60	1.45	1.07	1.26
ssl3335	1.37	1.98	1.28	1.35
ssl3291	1.22	1.25	1.07	1.25
ssl3177	1.29	1.34	1.08	1.39
ssl3127	1.00	1.13	2.62	1.04
ssl3093	0.30	0.34	0.36	0.68
ssl3044	5.64	2.43	2.38	1.80
ssl2982	0.82	1.08	0.69	0.75
ssl2971	2.17	1.16	1.15	1.10
ssl2923	1.07	1.11	1.01	1.05
ssl2922	1.15	1.06	0.76	0.64
ssl2920	1.10	1.17	1.01	1.02
ssl2874	1.01	1.18	1.08	1.11
ssl2823	0.89	1.00	0.74	0.67
ssl2789	1.06	1.09	1.23	0.77
ssl2781	1.17	1.26	0.96	1.24
ssl2749	1.24	1.09	0.91	0.74
ssl2733	0.84	0.80	0.86	0.85
ssl2717	0.89	1.19	1.03	1.02
ssl2667	1.12	1.52	1.51	1.23
ssl2615	0.90	1.24	1.32	1.39
ssl2598	0.90	0.87	1.02	0.71
ssl2595	0.97	1.00	1.00	0.95
ssl2559	1.74	1.05	0.94	0.65
ssl2542	2.49	2.52	2.18	0.97
ssl2501	0.65	0.83	0.62	0.56
ssl2471	1.24	1.19	1.05	1.00
ssl2420	0.84	0.88	0.70	0.83
ssl2384	0.43	0.49	0.60	0.66
ssl2296	1.16	0.86	0.89	0.76
ssl2250	1.02	1.15	0.91	0.93
ssl2245	1.42	1.27	1.10	1.63
ssl2233	1.25	1.92	1.51	1.95
ssl2162	1.43	1.49	1.27	1.05
ssl2153	1.55	2.55	1.90	1.82
ssl2148	1.31	2.24	1.71	1.82
ssl2138	1.21	1.25	0.99	1.23
ssl2084	0.91	1.29	1.00	1.49
ssl2069	0.88	0.76	0.69	0.79
ssl2009	0.89	1.03	0.89	0.79
ssl1972	0.88	1.17	1.24	1.09
ssl1923	0.76	1.06	0.71	0.64
ssl1918	0.94	1.02	0.67	0.76
ssl1911	1.31	1.08	1.37	0.83
ssl1807	0.80	0.71	0.83	0.72
ssl1792	1.27	0.99	0.86	0.73
ssl1784	0.95	1.81	1.54	1.45
ssl1707	0.74	0.70	0.66	0.75
ssl1690	0.96	0.88	0.84	0.97
ssl1633	1.61	1.74	1.31	0.79
ssl1552	0.83	1.06	1.05	0.83
ssl1533	0.52	0.30	0.35	0.54
ssl1520	1.00	1.03	0.96	0.83
ssl1498	0.91	0.94	0.68	0.87
ssl1464	0.97	0.71	0.76	0.57
ssl1426	0.92	1.53	1.22	0.88
ssl1417	0.91	1.11	0.88	0.80
ssl1378	1.39	1.25	0.95	1.14
ssl1326	0.95	0.88	0.91	0.95
ssl1300	0.89	0.99	0.84	0.70
ssl1263	0.73	0.80	0.42	0.53
