geneID	3	8	24
all0001	2.00	3.08	3.42
all0002	2.37	2.63	3.71
asl0003	0.00	2.87	0.00
all0004	0.75	0.63	2.04
all0005	0.68	0.62	2.11
all0006	0.71	0.76	2.16
all0007	0.69	0.58	1.74
all0008	0.78	0.78	2.13
asl0009	0.74	0.72	2.41
all0010	0.75	0.75	2.31
all0011	0.84	0.83	1.92
all0012	1.00	0.86	1.83
asr0013	0.00	0.00	0.00
alr0014	0.00	0.00	0.00
all0015	1.49	1.62	1.40
all0016	0.00	0.00	0.00
alr0018	0.00	3.05	0.00
alr0019	0.73	0.71	1.00
alr0020	0.42	0.41	0.72
alr0021	0.37	0.27	0.89
alr0022	0.47	0.36	0.97
asr0023	0.69	0.48	0.74
alr0024	1.28	1.12	1.89
all0025	2.07	1.40	1.63
asl0026	9.24	32.40	5.66
asl0027	5.35	36.07	0.00
all0028	4.30	4.91	1.16
alr0029	2.80	2.85	1.35
alr0030	3.75	2.89	0.00
alr0031	2.73	6.23	1.80
all0032	1.19	1.48	1.34
alr0033	1.13	0.93	0.65
alr0034	2.14	1.71	1.47
alr0035	1.66	1.25	1.11
all0036	0.94	0.91	1.12
all0037	2.72	2.15	1.35
alr0038	0.00	0.77	2.21
alr0039	1.71	0.92	1.56
all0040	1.11	1.19	1.77
all0041	1.27	1.30	1.63
all0042	1.67	1.92	1.66
asr0043	1.49	1.32	0.85
alr0044	1.33	1.18	0.77
alr0045	1.52	1.41	0.67
asl0046	1.91	1.59	0.84
all0047	2.14	2.81	1.36
all0048	1.80	2.34	1.30
all0049	1.56	1.05	1.08
all0050	2.77	3.30	3.65
alr0051	0.98	1.05	1.29
alr0052	1.26	1.82	1.46
alr0053	1.71	1.65	1.29
alr0054	2.45	5.97	0.00
alr0055	0.00	4.67	0.00
alr0056	2.20	2.35	1.93
asr0057	3.03	3.63	1.16
alr0058	2.96	3.76	2.58
all0059	0.00	0.00	0.00
asl0060	1.30	0.98	1.75
all0061	0.00	0.00	0.00
asr0062	1.24	1.11	0.79
alr0063	1.05	0.84	0.90
asr0064	0.63	0.44	0.35
all0065	1.21	1.68	1.25
all0066	0.87	0.89	1.38
all0067	1.01	1.27	1.38
alr0068	1.89	1.99	1.41
alr0069	1.12	1.08	1.69
all0070	0.94	0.91	1.42
all0071	1.24	1.17	1.90
alr0072	0.00	2.15	0.00
alr0073	1.43	1.93	1.84
alr0074	2.88	3.47	2.77
alr0075	2.80	3.13	2.04
alr0076	3.60	4.22	0.00
alr0077	0.00	3.51	0.00
alr0078	2.67	0.00	0.00
alr0079	0.00	0.00	0.00
alr0080	0.00	3.37	0.00
asr0081	1.58	3.61	1.29
all0082	1.70	1.47	1.87
alr0083	0.71	0.57	0.94
alr0084	1.51	1.32	1.68
all0085	1.85	1.63	1.76
all0086	1.95	1.85	2.35
all0087	1.90	1.81	1.84
alr0088	1.45	1.59	1.10
all0089	0.00	1.18	0.00
asl0090	0.00	1.97	1.65
alr0091	2.30	9.58	2.37
alr0092	2.06	4.31	1.15
alr0093	2.09	4.10	1.44
alr0094	1.80	1.99	1.12
asl0095	0.00	1.48	0.00
alr0096	1.55	1.22	0.00
asl0097	2.39	2.10	1.47
asr0098	5.09	3.64	0.74
alr0099	5.41	3.08	0.83
asr0100	2.52	2.05	0.49
alr0101	2.70	2.66	0.79
asr0102	2.61	2.29	0.60
alr0103	3.39	1.67	1.03
asr0104	0.00	0.00	0.00
