!version: $Revision: 1.1.1.1 $
!date: $Date: 2001/07/27 16:54:52 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!Michael Ashburner, Cambridge.
!Uses:ENZYME v26.0, May 2000.
!
EC:1.1.1.1 > GO:alcohol dehydrogenase ; GO:0004022
EC:1.1.1.1 > GO:alcohol dehydrogenase, iron-dependent ; GO:0004025
EC:1.1.1.1 > GO:alcohol dehydrogenase, metal ion-independent ; GO:0004023
EC:1.1.1.1 > GO:alcohol dehydrogenase, zinc-dependent ; GO:0004024
EC:1.1.1.100 > GO:3-oxoacyl-[acyl-carrier protein] reductase ; GO:0004316
EC:1.1.1.101 > GO:acylglycerone-phosphate reductase ; GO:0000140
EC:1.1.1.105 > GO:retinol dehydrogenase ; GO:0004745
EC:1.1.1.14 > GO:L-iditol 2-dehydrogenase ; GO:0003939
EC:1.1.1.145 > GO:3-beta-hydroxy-delta(5)-steroid dehydrogenase ; GO:0003854
EC:1.1.1.146 > GO:11-beta-hydroxysteroid dehydrogenase ; GO:0003845
EC:1.1.1.153 > GO:sepiapterin reductase ; GO:0004757
EC:1.1.1.184 > GO:carbonyl reductase (NADPH) ; GO:0004090
EC:1.1.1.2 > GO:alcohol dehydrogenase (NADP+) ; GO:0008106
EC:1.1.1.204 > GO:xanthine dehydrogenase ; GO:0004854
EC:1.1.1.205 > GO:IMP dehydrogenase ; GO:0003938
EC:1.1.1.21 > GO:aldehyde reductase ; GO:0004032
EC:1.1.1.22 > GO:UDP-glucose 6-dehydrogenase ; GO:0003979
EC:1.1.1.23 > GO:histidinol dehydrogenase ; GO:0004399
EC:1.1.1.249 > GO:[eIF-5A]-deoxyhypusine synthase ; GO:0004171
EC:1.1.1.25 > GO:shikimate 5-dehydrogenase ; GO:0004764
EC:1.1.1.27 > GO:L-lactate dehydrogenase ; GO:0004459
EC:1.1.1.29 > GO:glycerate dehydrogenase ; GO:0008465
EC:1.1.1.3 > GO:homoserine dehydrogenase ; GO:0004412
EC:1.1.1.30 > GO:3-hydroxybutyrate dehydrogenase ; GO:0003858
EC:1.1.1.31 > GO:3-hydroxyisobutyrate dehydrogenase ; GO:0008442
EC:1.1.1.34 > GO:hydroxymethylglutaryl-CoA reductase (NADPH) ; GO:0004420
EC:1.1.1.35 > GO:3-hydroxyacyl-CoA dehydrogenase ; GO:0003857
EC:1.1.1.37 > GO:malate dehydrogenase ; GO:0004470
EC:1.1.1.38 > GO:malate dehydrogenase (oxaloacetate decarboxylating) ; GO:0004472
EC:1.1.1.39 > GO:malate dehydrogenase (decarboxylating) ; GO:0004471
EC:1.1.1.40 > GO:malate dehydrogenase (oxaloacetate decarboxylating) (NADP+) ; GO:0004473
EC:1.1.1.41 > GO:isocitrate dehydrogenase (NAD+) ; GO:0004449
EC:1.1.1.42 > GO:isocitrate dehydrogenase (NADP+) ; GO:0004450
EC:1.1.1.43 > GO:6-phosphogluconate 2-dehydrogenase ; GO:0008114
EC:1.1.1.44 > GO:phosphogluconate dehydrogenase (decarboxylating) ; GO:0004616
EC:1.1.1.49 > GO:glucose-6-phosphate 1-dehydrogenase ; GO:0004345
EC:1.1.1.62 > GO:estradiol 17 beta-dehydrogenase ; GO:0004303
EC:1.1.1.73 > GO:octanol dehydrogenase ; GO:0004552
