gid	Domain	Real-domain	full-name	Organism-prefix	org-nicknames	gene-pattern	alt-gene-pattern	gene-prefix	Provisional	Circular	Complete	Host	Systematic-name	Lifestyle	Phylogeny	Taxonomy-ID	Contigs	Number-of-contigs	Total-length	GC%	Seed?
326574.3	Virus	Archaeal virus	Haloarcula phage SH1	SH1	(SH1)	-	-	SH1-	-	T	T	Haloarcula 	vA_H_U_SH1	Lytic	-	-	NC_007217	1	30889	68.38	227035057
128710.2	Virus	Archaeal virus	Haloarcula provirus His2	His2	(His2)	His2V_gp[0-9]+	-	His2-	-	T	@	Haloarcula hispanica	vA_HHi__His2_virus	-	-	-	NC_007918	1	16067	40.37	-
222645.1	Virus	Archaeal virus	Halobacterium virus HF1	HF1	(HF1)	HalHV1gp[0-9]+	-	HF1-	-	T	@	Halobacterium salinarum	vA_HSa_U_HF1	-	-	-	NC_004927	1	75898	55.79	3162009307
33771.1	Virus	Archaeal virus	Halobacterium virus HF2	HF2	(HF2)	HF2p[0-9]+	-	HF2-	-	T	@	Halobacteria	vA__U_HF2	-	-	-	NC_003345	1	77670	55.85	4225007089
173824.1	Virus	Archaeal virus	Methanothermobacter wolfeii prophage psiM100	psiM100	(psiM100)	psiM100p[0-9]+	-	psiM100-	-	T	@	Methanothermobacter wolfeii	vA_MWo_S_psiM100	Temperate/ Prophage	-	-	NC_002628	1	28798	45.37	4036683452
114777.1	Virus	Archaeal virus	Natrialba phage PhiCh1	PhiCh1	(PhiCh1)	PhiCh1p[0-9]+	-	-	-	T	@	Natrialba magadii	vB_NMa_M_PhiCh1	-	-	-	NC_004084	1	58498	61.89	1355813445
46014.1	Virus	Bacteriophage	Acholeplasma phage L2	Ach-L2	(Ach-L2)	-	L2_([0-9]+)	-	-	T	T	Acholeplasma 	vB_A_P_L2	Temperate	-	-	NC_001447	1	11965	31.96	510026662
10876.1	Virus	Bacteriophage	Acholeplasma phage MV-L1	MV-L1	(MV-L1)	-	L1_([0-9]+)	-	-	T	T	Acholeplasma 	vB_A_I_MV-L1	-	-	-	NC_001341	1	4491	33.29	2575625839
762660.3	Virus	Bacteriophage	Acinetobacter phage Ac42	Ac42	(Ac42)	Ac42p[0-9]+	-	-	-	T	T	Acinetobacter 	-	-	-	-	-	-	-	-	-
760732.3	Virus	Bacteriophage	Acinetobacter phage Acj61	Acj61	(Acj61)	Acj61p[0-9]+	-	-	-	T	@	Acinetobacter 	-	-	-	-	-	-	-	-	-
760939.3	Virus	Bacteriophage	Acinetobacter phage Acj9	Acj9	(Acj9)	Acj9[0-9]+	-	-	-	T	@	Acinetobacter 	-	-	-	-	-	-	-	-	-
154784.1	Virus	Bacteriophage	Acinetobacter phage AP205	AP205	(AP205)	AP205_[0-9]+	-	AP205-	-	T	@	Acinetobacter 	vB_A_L_AP205	-	-	-	NC_002700	1	4268	43.86	2746998845
230158.1	Virus	Bacteriophage	Actinobacillus phage Aaphi23	Aaphi23	(Aaphi23)	Aaphi23p[0-9]+	-	Aaphi23-	-	T	@	Actinobacillus actinomycetemcomitans	vB_AAc_M_Aaphi23	Temperate	-	-	NC_004827	1	43033	42.46	684028449
338473.2	Virus	Bacteriophage	Actinomyces phage Av-1	Av-1	(Av-1)	AV1_gp[0-9]+	-	-	-	T	@	Actinomyces 	vB_A_P_Av-1	-	-	-	NC_009643	1	17171	49.5	-
279303.3	Virus	Bacteriophage	Actinoplanes phage phiAsp2	phiAsp2	(phiAsp2)	pas[0-9]+	-	-	-	T	@	Actinoplanes 	vB_A_S_phiAsp2	-	-	-	NC_005885	1	58638	70.39	3210041707
67571.2	Virus	Bacteriophage	Acyrthosiphon pisum endosymbiont phage APSE-1	endo-APSE-1	(endo-APSE-1)	APSE-1_[0-0]+	-	-	-	T	@	Acyrthosiphon 	-	-	-	-	-	-	-	-	-
233894.4	Virus	Bacteriophage	Aeromonas phage 25	Aer-25	(Aer-25)	-	-	-	-	T	@	Aeromonas  	vB_A_M_phage 25	-	-	-	PHG25	1	161475	41.04	630678601
321023.5	Virus	Bacteriophage	Aeromonas phage 31	Aer-31	(Aer-31)	PHG31ORF[0-9]+c?	-	-	-	T	@	Aeromonas 	-	-	-	-	-	-	-	-	-
260149.5	Virus	Bacteriophage	Aeromonas phage 65	Aer-65	(Aer-65)	-	-	-	-	T	@	Aeromonas 	-	-	-	-	-	-	-	-	-
227470.1	Virus	Bacteriophage	Aeromonas phage Aeh1	Aeh1	(Aeh1)	Aeh1p[0-9]+	-	Aeh1-	-	T	@	Aeromonas hydrophila	vB_AHy_M_Aeh1	Lytic	-	-	NC_005260	1	233234	42.78	2577227564
879628.3	Virus	Bacteriophage	Aeromonas phage phiAS4	phiAS4	(phiAS4)	phiAS4_[0-9]+	-	-	-	T	@	Aeromonas 	-	-	-	-	-	-	-	-	-
879630.3	Virus	Bacteriophage	Aeromonas phage phiAS5	phiAS5	(phiAS5)	phiAS5_[0-9]+	-	-	-	T	@	Aeromonas 	-	-	-	-	-	-	-	-	-
393598.2	Virus	Bacteriophage	Aeromonas phage phiO18P	phiO18P	(phiO18P)	phiO18_[0-9]+	-	-	-	T	@	Aeromonas  	vB_A_M_phiO18P	-	-	-	NC_009542	1	33985	61.74	-
683735.2	Virus	Bacteriophage	Aggregatibacter phage S1249	S1249	(S1249)	D11S_[0-9]+	-	-	-	T	@	Aggregatibacter 	-	-	-	-	-	-	-	-	-
279383.3	Virus	Bacteriophage	Alphaproteobacteria phage phi JL001	JL001	(JL001)	JL001p[0-9]+	-	JL001-	-	T	@	Alphaproteobacteria	vB__S_JL001	Temperate	-	-	NC_006938	1	63649	62.12	327973317
10661.1	Virus	Bacteriophage	Alteromonas phage PM2	PM2	(PM2)	PM2_[0-9]+	-	-	-	T	@	Alteromonas  	vB_A_C_PM2	-	-	-	NC_000867	1	10079	42.17	938381906
467481.2	Virus	Bacteriophage	Azospirillum phage Cd	Azo-Cd	(Azo-Cd)	APCd_gp[0-9]+	-	-	-	T	@	Azospirillum  	vB_A_S_Cd	-	-	-	NC_010355	1	62337	63.93	-
458639.2	Virus	Bacteriophage	Bacillus phage 0305phi8-36	0305phi8-36	(0305phi8-36)	0305phi8-36p[0-9]+	-	-	-	T	@	Bacillus  	vB_B_M_0305phi8-36	-	-	-	NC_009760	1	218948	41.8	-
396034.2	Virus	Bacteriophage	Bacillus phage 1	Bac-1	(Bac-1)	BV1_gp[0-9]+	-	-	-	T	@	Bacillus  	vB_B__virus 1	-	-	-	NC_009737	1	35055	44.85	-
513550.2	Virus	Bacteriophage	Bacillus phage AP50	AP50	(AP50)	BPAP50_gp[0-9]+	-	-	-	T	@	Bacillus 	vB_B_T_AP50	-	-	-	NC_011523	1	14398	38.65	-
10778.1	Virus	Bacteriophage	Bacillus phage B103	B103	(B103)	B103_[0-9]+	-	B103-	-	T	@	Bacillus subtilis	vB_BSu_P_B103	Lytic	-	-	NC_004165	1	18630	37.66	791051727
236750.1	Virus	Bacteriophage	Bacillus phage Bam35c	Bam35c	(Bam35c)	Bam35cp[0-9]+	-	Bam35c-	-	T	@	Bacillus thuringiensis	vB_BTh_T_Bam35c	Temperate	-	-	NC_005258	1	14935	39.72	954174981
294382.3	Virus	Bacteriophage	Bacillus phage BCJA1c	BCJA1c	(BCJA1c)	BCBBV1cgp[0-9]+	-	BCJA1c-	-	T	@	Bacillus 	vB_B_S_BCJA1c	Temperate	-	-	NC_006557	1	41092	41.74	3765051289
347966.2	Virus	Bacteriophage	Bacillus phage Cherry	Cherry	(Cherry)	CHERRY_[0-9]+	-	-	-	T	@	Bacillus  	vB_B_S_Cherry	-	-	-	NC_007457	1	36615	35.26	-
345922.2	Virus	Bacteriophage	Bacillus phage Fah	Fah	(Fah)	Fah[0-9]+	-	-	-	T	@	Bacillus  	vB_B_S_Fah	-	-	-	NC_007814	1	37974	34.94	-
12345.1	Virus	Bacteriophage	Bacillus phage GA-1	GA-1	(GA-1)	GA-1p[0-9]+	-	-	-	T	@	Bacillus 	vB_B_P_GA-1	Lytic	-	-	NC_002649	1	21129	34.65	2644775013
347962.3	Virus	Bacteriophage	Bacillus phage Gamma isolate 51	Bac-gamma-51	(Bac-gamma-51)	GAMMAUSAM_[0-9]+	-	-	-	T	@	Bacillus 	-	-	-	-	-	-	-	-	-
359962.2	Virus	Bacteriophage	Bacillus phage Gamma isolate d-Herelle	dHerelle	(dHerelle)	-	gp([0-9]+)	-	-	T	@	Bacillus  	vB_B_S_Gamma_d'Herelle	-	-	-	DQ289556	1	37373	35.13	-
307240.3	Virus	Bacteriophage	Bacillus phage GIL16c	GIL16c	(GIL16c)	-	-	-	-	T	@	Bacillus thuringiensis	vB_BTh_T_GIL16c	Temperate	-	-	NC_006945	1	14844	40.07	1008012845
552525.2	Virus	Bacteriophage	Bacillus phage IEBH	IEBH	(IEBH)	IEBH_gp[0-9]+	-	-	-	T	@	Bacillus  	vB_B_S_IEBH	-	-	-	NC_011167	1	53104	36.42	-
10753.2	Virus	Bacteriophage	Bacillus phage Nf	Bac-Nf	(Bac-Nf)	-	-	-	-	T	@	Bacillus  	vB_B_P_Nf	-	-	-	EU622808	1	18753	37.32	-
225725.1	Virus	Bacteriophage	Bacillus phage phBC6A51	phBC6A51	(phBC6A51)	BC[0-9]+	-	phBC6A51-	-	T	@	Bacillus 	vB_B__phBC6A51	Temperate	-	-	NC_004820	1	61395	37.69	2484899401
225726.1	Virus	Bacteriophage	Bacillus phage phBC6A52	phBC6A52	(phBC6A52)	BC[0-9]+	-	phBC6A52-	-	T	@	Bacillus 	vB_B__phBC6A52	Temperate	-	-	NC_004821	1	38472	34.72	4065616596
10717.1	Virus	Bacteriophage	Bacillus phage phi-105	phi-105	(phi-105)	phi105_[0-9]+	-	phi-105-	-	T	@	Bacillus subtilis	vB_BSu_S_phi-105	-	-	-	NC_004167	1	39325	42.69	480333074
10756.2	Virus	Bacteriophage	Bacillus phage phi29	phi29	(phi29)	phi29_gp_[0-9]+.[0-9]+	-	-	-	T	@	Bacillus 	-	-	-	-	-	-	-	-	-
66797.1	Virus	Bacteriophage	Bacillus phage SPBc2	SPBc2	(SPBc2)	SPBc2p[0-9]+	-	SPBc2-	-	T	@	Bacillus subtilis	vB_BSu_S_SPBc2	Temperate	-	-	NC_001884	1	134416	34.64	2905692931
10685.2	Virus	Bacteriophage	Bacillus phage SPO1	SPO1	(SPO1)	SPO1_[0-9]+	-	-	-	T	@	Bacillus  	vB_B_M_SPO1	Lytic	-	-	NC_011421	1	132562	39.96	-
10724.1	Virus	Bacteriophage	Bacillus phage SPP1	SPP1	(SPP1)	SPP1p[0-9]+	-	SPP1-	-	T	@	Bacillus subtilis	vB_BSu_S_SPP1	-	-	-	NC_004166	1	44007	43.7	169730758
565140.2	Virus	Bacteriophage	Bacillus phage TP21-L	TP21-L	(TP21-L)	TP21-L_gp[0-9]+	-	-	-	T	@	Bacillus  	vB_B_S_TP21-L	-	-	-	NC_011645	1	37456	37.8	-
359961.2	Virus	Bacteriophage	Bacillus phage WBeta	WBeta	(WBeta)	-	wp([0-9]+)	-	-	T	@	Bacillus  	vB_B_S_WBeta	-	-	-	NC_007734	1	40867	35.26	-
99179.2	Virus	Bacteriophage	Bacteroides phage B40-8	B40-8	(B40-8)	B40-[0-9]+	-	-	-	T	@	Bacteroides  	vB_B_S_B40-8	-	-	-	NC_011222	1	44929	38.63	-
145579.1	Virus	Bacteriophage	Bdellovibrio phage phiMH2K	phiMH2K	(phiMH2K)	phiMH22Kp[0-9]+	-	-	-	T	@	Bdellovibrio bacteriovorus	vB_BBa_M_phiMH2K	-	-	-	NC_002643	1	4594	46.1	1040215333
263375.1	Virus	Bacteriophage	Bordetella phage BIP-1	BIP-1	(BIP-1)	BIP-1p[0-9]+	-	-	-	T	@	Bordetella  	vB_B_P_BIP-1	Temperate	-	-	NC_005809	1	42638	65.4	3334070898
263374.1	Virus	Bacteriophage	Bordetella phage BMP-1	BMP-1	(BMP-1)	BMP-1p[0-9]+	-	-	-	T	@	Bordetella  	vB_B_P_BMP-1	Temperate	-	-	NC_005808	1	42663	65.44	202825542
194699.1	Virus	Bacteriophage	Bordetella phage BPP-1	BPP-1	(BPP-1)	-	bbp([0-9]+)	BPP-1	-	T	@	Bordetella  	vB_B_P_BPP-1	Temperate	-	-	NC_005357	1	42493	65.41	2705184939
